ClientAccountID,AssetClass,Symbol,DateTime,Quantity,TradePrice,TradeMoney,Proceeds,IBCommission,NetCash,ClosePrice,Open/CloseIndicator,CostBasis,TransactionID,Buy/Sell,OrderType
U3163489,WAR,LFLYW,2022-07-27;12:35:33,-486,0.9401,-456.8886,456.8886,-2.503642749,454.3849573,0.74,O,-454.3849573,21188549667,SELL,LMT
U3163489,WAR,LFLYW,2022-07-27;12:36:52,-514,0.9783,-502.8462,502.8462,-2.648335178,500.1978648,0.74,O,-500.1978648,21188566419,SELL,LMT
U3163489,WAR,LFLYW,2022-07-27;12:40:01,-500,1.07,-535,535,-2.5772515,532.4227485,0.74,O,-532.4227485,21188586320,SELL,LMT
U3163489,WAR,LFLYW,2022-07-27;12:41:02,-500,1.3,-650,650,-2.579885,647.420115,0.74,O,-647.420115,21188599738,SELL,LMT
U3163489,WAR,LFLYW,2022-07-27;12:49:19,500,1.05,525,-525,-2.5,-527.5,0.74,C,468.009023,21188671185,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:50:18,100,1.04,104,-104,-1,-105,0.74,C,97.31476,21188686639,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:51:05,100,1.04,104,-104,0,-104,0.74,C,97.31476,21188686744,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:52:05,200,1.02,204,-204,-1,-205,0.74,C,194.629519,21188695832,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:52:15,48,1.02,48.96,-48.96,-0.24,-49.2,0.74,C,46.711085,21188701883,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:52:16,52,1.02,53.04,-53.04,-0.26,-53.3,0.74,C,50.603675,21188701885,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:53:12,200,0.9963,199.26,-199.26,-1,-200.26,0.74,C,212.969099,21188710521,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:53:16,39,0.9963,38.8557,-38.8557,-0.195,-39.0507,0.74,C,41.528974,21188710522,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:53:17,100,1,100,-100,-1,-101,0.74,C,106.48455,21188710525,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:53:17,2,1,2,-2,0,-2,0.74,C,2.129691,21188710526,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:53:17,100,1,100,-100,-0.01,-100.01,0.74,C,106.48455,21188710527,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:53:17,59,1,59,-59,-0.295,-59.295,0.74,C,62.825884,21188710528,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:58:05,13,0.9853,12.8089,-12.8089,-0.128089,-12.936989,0.74,C,16.832923,21188757684,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:58:11,100,0.9853,98.53,-98.53,-0.871911,-99.401911,0.74,C,129.484023,21188757729,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:58:27,178,0.9778,174.0484,-174.0484,-0.455,-174.5034,0.74,C,230.481561,21188757856,BUY,LMT
U3163489,WAR,LFLYW,2022-07-27;12:58:39,209,0.9702,202.7718,-202.7718,-1.045,-203.8168,0.74,C,270.621608,21188757884,BUY,LMT
U3163489,STK,AAIC,2023-05-30;07:01:26,-200,3.76,-752,752,-1.035016,750.964984,4.06,O,-750.964984,24008890283,SELL,LMT
U3163489,STK,AAIC,2023-05-30;07:01:26,-100,3.8,-380,380,-0.51754,379.48246,4.06,O,-379.48246,24008890295,SELL,LMT
U3163489,STK,AAIC,2023-05-30;07:03:23,42,3.78,158.76,-158.76,-1,-159.76,4.06,C,157.702647,24008897293,BUY,LMT
U3163489,STK,AAIC,2023-05-30;07:03:23,100,3.78,378,-378,0,-378,4.06,C,375.482492,24008897296,BUY,LMT
U3163489,STK,AAIC,2023-05-30;07:09:00,158,3.99,630.42,-630.42,-1,-631.42,4.06,C,597.262305,24008913214,BUY,LMT
U3163489,STK,AAMC,2022-07-22;12:36:41,-92,14.26,-1311.92,1311.92,-1.042002968,1310.877997,14.71,O,-1310.877997,21153812233,SELL,LMT
U3163489,STK,AAMC,2022-07-22;12:36:41,-8,14.27,-114.16,114.16,-0.003654264,114.1563457,14.71,O,-114.1563457,21153812234,SELL,LMT
U3163489,STK,AAMC,2022-07-27;15:45:52,-50,18.39,-919.5,919.5,-1.02755655,918.4724435,18.89,O,-918.4724435,21191776357,SELL,LMT
U3163489,STK,AAMC,2022-08-02;10:37:01,100,15.95,1595,-1595,-1,-1596,16.5,C,1425.034343,21241693417,BUY,LMT
U3163489,STK,AAMC,2022-09-16;13:55:18,100,18.3,1830,-1830,-1,-1831,18.53,C;O,918.472443,21664162066,BUY,LMT
U3163489,STK,AAMC,2022-09-16;13:55:18,200,18.23,3646,-3646,-0.5,-3646.5,18.53,O,3646.5,21664162072,BUY,LMT
U3163489,STK,AAMC,2022-09-16;13:55:18,100,18.35,1835,-1835,-0.5,-1835.5,18.53,O,1835.5,21664162075,BUY,LMT
U3163489,STK,AAMC,2022-09-16;13:55:18,100,18.25,1825,-1825,-0.5,-1825.5,18.53,O,1825.5,21664162083,BUY,LMT
U3163489,STK,AAMC,2022-09-16;15:09:05,-100,18.07,-1807,1807,-1.0543803,1805.94562,18.53,C,-1827.125,21665440835,SELL,LMT
U3163489,STK,AAMC,2022-09-16;15:09:09,-43,18.07,-777.01,777.01,-0.023383529,776.9866165,18.53,C,-783.9975,21665440880,SELL,LMT
U3163489,STK,AAMC,2022-09-16;15:44:27,-6,17.77,-106.62,106.62,-1.003221598,105.6167784,18.53,C,-109.395,21666048877,SELL,LMT
U3163489,STK,AAMC,2022-09-16;15:44:27,-92,17.75,-1633,1633,-0.0493557,1632.950644,18.53,C,-1677.39,21666048886,SELL,LMT
U3163489,STK,AAMC,2022-09-16;15:44:27,-2,17.77,-35.54,35.54,-0.001073866,35.53892613,18.53,C,-36.465,21666048893,SELL,LMT
U3163489,STK,AAMC,2022-09-16;15:51:21,-100,18.02,-1802,1802,-1.0542658,1800.945734,18.53,C,-1834.6425,21666185611,SELL,LMT
U3163489,STK,AAMC,2022-09-16;15:54:15,-4,18,-72,72,-0.7221688,71.2778312,18.53,C,-73.42,21666261897,SELL,LMT
U3163489,STK,AAMC,2022-09-16;15:54:15,-103,18,-1854,1854,-0.3358466,1853.664153,18.53,C,-1880.565,21666261900,SELL,LMT
U3163489,STK,AAN,2022-10-24;16:32:04,-100,10.05,-1005,1005,-1.0360145,1003.963986,8.1,O,-1003.963986,22003546004,SELL,LMT
U3163489,STK,AAN,2022-10-24;16:37:18,100,9.24,924,-924,-1,-925,8.1,C,1003.963986,22003559641,BUY,LMT
U3163489,STK,AAOI,2022-09-16;10:40:39,-400,3.44,-1376,1376,-2.0835104,1373.91649,3.76,O,-1373.91649,21661310853,SELL,LMT
U3163489,STK,AAOI,2022-09-16;10:40:39,-100,3.44,-344,344,-0.5208776,343.4791224,3.76,O,-343.4791224,21661310855,SELL,LMT
U3163489,STK,AAOI,2022-09-16;10:43:33,100,3.36,336,-336,-1,-337,3.76,C,343.479122,21661384889,BUY,LMT
U3163489,STK,AAOI,2022-09-16;10:43:33,100,3.36,336,-336,0,-336,3.76,C,343.479122,21661384896,BUY,LMT
U3163489,STK,AAOI,2022-09-16;11:08:17,100,3.3075,330.75,-330.75,-1,-331.75,3.76,C,343.479122,21661883609,BUY,LMT
U3163489,STK,AAOI,2022-09-16;11:08:17,100,3.31,331,-331,0,-331,3.76,C,343.479122,21661883612,BUY,LMT
U3163489,STK,AAOI,2022-09-16;11:08:17,100,3.308,330.8,-330.8,-0.5,-331.3,3.76,C,343.479122,21661883616,BUY,LMT
U3163489,STK,ABOS,2022-09-28;04:19:44,-500,6,-3000,3000,-2.6337,2997.3663,9.58,O,-2997.3663,21761533204,SELL,LMT
U3163489,STK,ABOS,2022-09-28;04:20:45,499,5.66,2824.34,-2824.34,-2.495,-2826.835,9.58,C,2991.371567,21761539361,BUY,LMT
U3163489,STK,ABOS,2022-09-28;04:21:04,1,5.96,5.96,-5.96,-0.0626,-6.0226,9.58,C,5.994733,21761539396,BUY,LMT
U3163489,STK,ABOS,2022-09-28;04:22:47,-200,6.19,-1238,1238,-1.0543502,1236.94565,9.58,O,-1236.94565,21761545489,SELL,LMT
U3163489,STK,ABOS,2022-09-28;04:25:03,44,5.74,252.56,-252.56,-1,-253.56,9.58,C,272.128043,21761547548,BUY,LMT
U3163489,STK,ABOS,2022-09-28;04:25:12,139,5.74,797.86,-797.86,0,-797.86,9.58,C,859.677227,21761548961,BUY,LMT
U3163489,STK,ABOS,2022-09-28;04:25:32,17,5.74,97.58,-97.58,-0.9758,-98.5558,9.58,C,105.14038,21761548985,BUY,LMT
U3163489,STK,ABOS,2022-09-28;04:38:28,-50,6,-300,300,-1.01337,298.98663,9.58,O,-298.98663,21761573342,SELL,LMT
U3163489,STK,ABOS,2022-09-28;04:38:28,-50,6.01,-300.5,300.5,-0.01338145,300.4866186,9.58,O,-300.4866186,21761573343,SELL,LMT
U3163489,STK,ABOS,2022-09-28;04:38:28,-50,6.04,-302,302,-0.0134158,301.9865842,9.58,O,-301.9865842,21761573344,SELL,LMT
U3163489,STK,ABOS,2022-09-28;04:38:28,-50,6.02,-301,301,-0.0133929,300.9866071,9.58,O,-300.9866071,21761573345,SELL,LMT
U3163489,STK,ABOS,2022-09-28;04:50:10,-50,6.36,-318,318,-1.0137822,316.9862178,9.58,O,-316.9862178,21761596211,SELL,LMT
U3163489,STK,ABOS,2022-09-28;04:50:10,-50,6.37,-318.5,318.5,-0.01379365,318.4862064,9.58,O,-318.4862064,21761596212,SELL,LMT
U3163489,STK,ABOS,2022-09-28;06:21:57,-20,6.69,-133.8,133.8,-1.00566402,132.794336,9.58,O,-132.794336,21761876049,SELL,LMT
U3163489,STK,ABOS,2022-09-28;06:21:57,-25,6.69,-167.25,167.25,-0.007080025,167.24292,9.58,O,-167.24292,21761876053,SELL,LMT
U3163489,STK,ABOS,2022-09-28;06:21:58,-13,6.69,-86.97,86.97,-0.003681613,86.96631839,9.58,O,-86.96631839,21761876054,SELL,LMT
U3163489,STK,ABOS,2022-09-28;06:22:06,-100,6.69,-669,669,-0.0283201,668.9716799,9.58,O,-668.9716799,21761876060,SELL,LMT
U3163489,STK,ABOS,2022-09-28;06:22:06,-42,6.69,-280.98,280.98,-0.011894442,280.9681056,9.58,O,-280.9681056,21761876061,SELL,LMT
U3163489,STK,ABOS,2022-09-28;09:40:29,29,7.45,216.05,-216.05,-1,-217.05,9.58,C,173.412245,21763018963,BUY,LMT
